Rel_Time,System_Time,S6_EMG_1
0.315621,18:00:51.036,1.066011
0.316086,18:00:51.036,0.639673
0.316552,18:00:51.037,0.127398
0.317017,18:00:51.037,-0.322774
0.317483,18:00:51.038,-0.653437
0.317948,18:00:51.038,-0.931731
0.318414,18:00:51.038,-1.234195
0.318879,18:00:51.039,-1.549416
0.319345,18:00:51.039,-1.775341
0.319810,18:00:51.040,-1.888808
0.320276,18:00:51.040,-1.927077
0.320741,18:00:51.041,-1.933959
0.321207,18:00:51.041,-1.932113
0.321672,18:00:51.042,-1.887465
0.322138,18:00:51.042,-1.801526
0.322603,18:00:51.043,-1.730694
0.323069,18:00:51.043,-1.695109
0.323534,18:00:51.044,-1.643244
0.324000,18:00:51.044,-1.643244
0.324466,18:00:51.045,-1.489662
0.324931,18:00:51.045,-1.507118
0.325397,18:00:51.045,-1.563180
0.325862,18:00:51.046,-1.543709
0.326328,18:00:51.046,-1.408423
0.326793,18:00:51.047,-1.245609
0.327259,18:00:51.047,-1.101259
0.327724,18:00:51.048,-0.942809
0.328190,18:00:51.048,-0.717556
0.328655,18:00:51.049,-0.416434
0.329121,18:00:51.049,-0.105577
0.329586,18:00:51.050,0.193362
0.330052,18:00:51.050,0.547021
0.330517,18:00:51.051,0.907225
0.330983,18:00:51.051,1.153964
0.331448,18:00:51.051,1.269780
0.331914,18:00:51.052,1.319463
0.332379,18:00:51.052,1.296971
0.332845,18:00:51.053,1.155306
0.333310,18:00:51.053,0.871305
0.333776,18:00:51.054,0.479713
0.334241,18:00:51.054,0.080735
0.334707,18:00:51.055,-0.220386
0.335172,18:00:51.055,-0.415763
0.335638,18:00:51.056,-0.609293
0.336103,18:00:51.056,-0.910918
0.336569,18:00:51.057,-1.273472
0.337034,18:00:51.057,-1.557809
0.337500,18:00:51.058,-1.736568
0.337966,18:00:51.058,-1.891157
0.338431,18:00:51.058,-1.891157
0.338897,18:00:51.059,-2.296345
0.339362,18:00:51.059,-2.390677
0.339828,18:00:51.060,-2.385641
0.340293,18:00:51.060,-2.391684
0.340759,18:00:51.061,-2.396719
0.341224,18:00:51.061,-2.308598
0.341690,18:00:51.062,-2.141924
0.342155,18:00:51.062,-1.969711
0.342621,18:00:51.063,-1.824018
0.343086,18:00:51.063,-1.689067
0.343552,18:00:51.064,-1.534310
0.344017,18:00:51.064,-1.359243
0.344483,18:00:51.065,-1.220264
0.344948,18:00:51.065,-1.153964
0.345414,18:00:51.065,-1.112673
0.345879,18:00:51.066,-1.006592
0.346345,18:00:51.066,-0.825986
